company,product_name,download_amount,slogan,update_time,download_rankings_amount_1,download_rankings_amount_2,download_rankings_amount_3,download_rankings_amount_4,download_rankings_amount_5,download_rankings_amount_6,download_rankings_amount_7,download_rankings_amount_8,download_rankings_amount_9,download_rankings_amount_10,url
北京米树科技有限公司,餐馆无忧,19.8万下载量,APP更新：2017.12.21,数据更新：2018.01.28,"百度手机助手,4.0分,8万下载","应用宝,8.4分,4.9万下载","豌豆荚,暂无,2.9万下载","华为应用市场,10分,2.2万下载","360手机助手,6.0分,1万下载","魅族应用商店,10分,7576下载","小米应用商店,暂无,暂无",,,,http://www.jobui.com/company/12028954/products/13342/
欧莱雅（中国）有限公司,千妆魔镜,201.1万下载量,首款美妆定制APP,APP更新：2017.12.21,"百度手机助手,8.8分,121万下载","360手机助手,9.3分,33万下载","豌豆荚,暂无,29.5万下载","应用宝,9.8分,17万下载","魅族应用商店,6.0分,6090下载",,,,,,http://www.jobui.com/company/11709162/products/30558/
三星新罗商务服务（北京）有限公司,新罗免税店,42.1万下载量,出游韩国免税购物,APP更新：2018.01.10,"百度手机助手,5.2分,22万下载","360手机助手,3.5分,14万下载","魅族应用商店,7.0分,5.8万下载","豌豆荚,暂无,2820下载","小米应用商店,暂无,暂无",,,,,,http://www.jobui.com/company/11708642/products/53317/
上海千橙网络科技有限公司,打开,19.1万下载量,小编每日精心整理，只为更懂生活的你,APP更新：2016.09.24,"百度手机助手,7.7分,15万下载","豌豆荚,10分,3万下载","魅族应用商店,7.8分,4613下载","华为应用市场,8.0分,3320下载","360手机助手,6.8分,1751下载","应用宝,8.0分,1464下载","小米应用商店,9.0分,暂无",,,,http://www.jobui.com/company/11178609/products/47695/
杭州鲜趣闪购网络科技有限公司,闪电购便利店,495.3万下载量,宅家神器，吃、喝、用，闪电送！,APP更新：2016.11.10,"豌豆荚,9.8分,189.2万下载","应用宝,9.0分,93万下载","百度手机助手,8.2分,81万下载","华为应用市场,6.0分,52.3万下载","360手机助手,9.6分,37万下载","魅族应用商店,9.2分,27.8万下载","OPPO软件商店,8.0分,15万下载","小米应用商店,9.0分,暂无",,,http://www.jobui.com/company/11920858/products/22808/
杭州粉萌科技有限公司,猫屎星球,19.9万下载量,美少女变美指南,APP更新：2018.01.25,"华为应用市场,10分,6.1万下载","应用宝,10分,4.3万下载","360手机助手,9.7分,3万下载","魅族应用商店,10分,2.1万下载","百度手机助手,10分,2万下载","豌豆荚,9.9分,1.4万下载","OPPO软件商店,10分,1万下载","小米应用商店,10分,暂无",,,http://www.jobui.com/company/13601435/products/30566/
广州麦壳网络科技有限公司,全城夺宝,10.2万下载量,全场商品1元购,APP更新：2017.06.22,"豌豆荚,10分,9.3万下载","华为应用市场,6.0分,8602下载",,,,,,,,,http://www.jobui.com/company/13192789/products/30895/
上海雅宽信息科技有限公司,饭菜票,16万下载量,APP更新：2016.06.28,数据更新：2017.07.12,"360手机助手,8.8分,15万下载","豌豆荚,暂无,3765下载","百度手机助手,10分,3449下载","应用宝,8.8分,1373下载","OPPO软件商店,暂无,1000下载","小米应用商店,暂无,暂无",,,,,http://www.jobui.com/company/11372101/products/39624/
山西车来车网信息技术有限公司,车来车网,243.7万下载量,车来车网2元抢车,APP更新：2017.09.08,"360手机助手,7.9分,200万下载","百度手机助手,8.1分,22万下载","应用宝,10分,12万下载","华为应用市场,3.0分,3.8万下载","豌豆荚,4.5分,3.5万下载","魅族应用商店,7.4分,2.4万下载","小米应用商店,10分,暂无",,,,http://www.jobui.com/company/13008949/products/13371/
北京趣找网络科技有限公司,找找,28.2万下载量,APP更新：2017.01.24,数据更新：2017.07.12,"华为应用市场,10分,24.8万下载","豌豆荚,暂无,1.7万下载","百度手机助手,2.0分,9888下载","360手机助手,7.8分,5571下载","OPPO软件商店,4.0分,1000下载","应用宝,10分,602下载",,,,,http://www.jobui.com/company/13601166/products/31446/
